method_id,trajectory_id,checkpoint,strict_occurred_event_evidence_f1,correct,predicted_pair_count,gold_pair_count,true_positive_pair_count,parse_error
fc_openrouter_gpt_oss_120b,traj_002,255,0.2,0,3,17,2,0
fc_openrouter_gpt_oss_120b,traj_002,270,0.2857142857142857,0,3,18,3,0
fc_openrouter_gpt_oss_120b,traj_002,285,0.18181818181818182,0,3,19,2,0
fc_openrouter_gpt_oss_120b,traj_002,300,0.09523809523809523,0,1,20,1,0
fc_openrouter_gpt_oss_120b,traj_003,15,1.0,1,1,1,1,0
fc_openrouter_gpt_oss_120b,traj_003,30,0.6666666666666666,0,1,2,1,0
fc_openrouter_gpt_oss_120b,traj_003,45,0.0,0,0,3,0,0
fc_openrouter_gpt_oss_120b,traj_003,60,0.6666666666666666,0,2,4,2,0
fc_openrouter_gpt_oss_120b,traj_003,75,0.33333333333333337,0,1,5,1,0
fc_openrouter_gpt_oss_120b,traj_003,90,0.2857142857142857,0,1,6,1,0
fc_openrouter_gpt_oss_120b,traj_003,105,0.25,0,1,7,1,0
fc_openrouter_gpt_oss_120b,traj_003,120,0.4,0,2,8,2,0
fc_openrouter_gpt_oss_120b,traj_003,135,0.19999999999999998,0,1,9,1,0
fc_openrouter_gpt_oss_120b,traj_003,150,0.33333333333333337,0,2,10,2,0
fc_openrouter_gpt_oss_120b,traj_003,165,0.28571428571428575,0,3,11,2,0
fc_openrouter_gpt_oss_120b,traj_003,180,0.15384615384615385,0,1,12,1,0
fc_openrouter_gpt_oss_120b,traj_003,195,0.2666666666666667,0,2,13,2,0
fc_openrouter_gpt_oss_120b,traj_003,210,0.25,0,2,14,2,0
fc_openrouter_gpt_oss_120b,traj_003,225,0.23529411764705882,0,2,15,2,0
fc_openrouter_gpt_oss_120b,traj_003,240,0.11764705882352941,0,1,16,1,0
fc_openrouter_gpt_oss_120b,traj_003,255,0.1111111111111111,0,1,17,1,0
fc_openrouter_gpt_oss_120b,traj_003,270,0.19999999999999998,0,2,18,2,0
fc_openrouter_gpt_oss_120b,traj_003,285,0.1,0,1,19,1,0
fc_openrouter_gpt_oss_120b,traj_003,300,0.09523809523809523,0,1,20,1,0
fc_openrouter_gpt_oss_120b,traj_004,15,0.0,0,0,1,0,0
fc_openrouter_gpt_oss_120b,traj_004,30,0.0,0,0,2,0,0
fc_openrouter_gpt_oss_120b,traj_004,45,0.0,0,0,3,0,0
fc_openrouter_gpt_oss_120b,traj_004,60,0.0,0,0,4,0,0
fc_openrouter_gpt_oss_120b,traj_004,75,0.0,0,0,5,0,0
fc_openrouter_gpt_oss_120b,traj_004,90,0.0,0,0,6,0,0
fc_openrouter_gpt_oss_120b,traj_004,105,0.0,0,0,7,0,0
fc_openrouter_gpt_oss_120b,traj_004,120,0.4,0,2,8,2,0
fc_openrouter_gpt_oss_120b,traj_004,135,0.1818181818181818,0,2,9,1,0
fc_openrouter_gpt_oss_120b,traj_004,150,0.0,0,0,10,0,0
fc_openrouter_gpt_oss_120b,traj_004,165,0.0,0,0,11,0,0
fc_openrouter_gpt_oss_120b,traj_004,180,0.0,0,0,12,0,0
fc_openrouter_gpt_oss_120b,traj_004,195,0.0,0,0,13,0,0
fc_openrouter_gpt_oss_120b,traj_004,210,0.0,0,0,14,0,0
fc_openrouter_gpt_oss_120b,traj_004,225,0.0,0,0,15,0,0
fc_openrouter_gpt_oss_120b,traj_004,240,0.0,0,0,16,0,0
fc_openrouter_gpt_oss_120b,traj_004,255,0.0,0,1,17,0,0
fc_openrouter_gpt_oss_120b,traj_004,270,0.0,0,0,18,0,0
fc_openrouter_gpt_oss_120b,traj_004,285,0.1904761904761905,0,2,19,2,0
fc_openrouter_gpt_oss_120b,traj_004,300,0.0,0,0,20,0,0
fc_openrouter_gpt_oss_120b,traj_005,15,1.0,1,1,1,1,0
fc_openrouter_gpt_oss_120b,traj_005,30,1.0,1,2,2,2,0
fc_openrouter_gpt_oss_120b,traj_005,45,0.6666666666666666,0,3,3,2,0
fc_openrouter_gpt_oss_120b,traj_005,60,0.5714285714285715,0,3,4,2,0
fc_openrouter_gpt_oss_120b,traj_005,75,0.5714285714285715,0,2,5,2,0
fc_openrouter_gpt_oss_120b,traj_005,90,0.4444444444444444,0,3,6,2,0
fc_openrouter_gpt_oss_120b,traj_005,105,0.22222222222222224,0,2,7,1,0
fc_openrouter_gpt_oss_120b,traj_005,120,0.2,0,2,8,1,0
fc_openrouter_gpt_oss_120b,traj_005,135,0.3636363636363636,0,2,9,2,0
fc_openrouter_gpt_oss_120b,traj_005,150,0.0,0,3,10,0,0
fc_openrouter_gpt_oss_120b,traj_005,165,0.15384615384615385,0,2,11,1,0
fc_openrouter_gpt_oss_120b,traj_005,180,0.4,0,3,12,3,0
fc_openrouter_gpt_oss_120b,traj_005,195,0.2666666666666667,0,2,13,2,0
fc_openrouter_gpt_oss_120b,traj_005,210,0.0,0,2,14,0,0
fc_openrouter_gpt_oss_120b,traj_005,225,0.23529411764705882,0,2,15,2,0
fc_openrouter_gpt_oss_120b,traj_005,240,0.21052631578947367,0,3,16,2,0
fc_openrouter_gpt_oss_120b,traj_005,255,0.10526315789473684,0,2,17,1,0
fc_openrouter_gpt_oss_120b,traj_005,270,0.09999999999999999,0,2,18,1,0
fc_openrouter_gpt_oss_120b,traj_005,285,0.1,0,1,19,1,0
fc_openrouter_gpt_oss_120b,traj_005,300,0.2608695652173913,0,3,20,3,0
fc_openrouter_gpt_oss_120b,traj_006,15,1.0,1,1,1,1,0
fc_openrouter_gpt_oss_120b,traj_006,30,0.0,0,0,2,0,0
fc_openrouter_gpt_oss_120b,traj_006,45,0.5,0,1,3,1,0
fc_openrouter_gpt_oss_120b,traj_006,60,0.4,0,1,4,1,0
fc_openrouter_gpt_oss_120b,traj_006,75,0.0,0,0,5,0,0
fc_openrouter_gpt_oss_120b,traj_006,90,0.0,0,0,6,0,0
fc_openrouter_gpt_oss_120b,traj_006,105,0.0,0,0,7,0,0
fc_openrouter_gpt_oss_120b,traj_006,120,0.0,0,0,8,0,0
fc_openrouter_gpt_oss_120b,traj_006,135,0.0,0,0,9,0,0
fc_openrouter_gpt_oss_120b,traj_006,150,0.0,0,0,10,0,0
fc_openrouter_gpt_oss_120b,traj_006,165,0.16666666666666669,0,1,11,1,0
fc_openrouter_gpt_oss_120b,traj_006,180,0.15384615384615385,0,1,12,1,0
fc_openrouter_gpt_oss_120b,traj_006,195,0.13333333333333336,0,2,13,1,0
fc_openrouter_gpt_oss_120b,traj_006,210,0.13333333333333333,0,1,14,1,0
fc_openrouter_gpt_oss_120b,traj_006,225,0.0,0,0,15,0,0
fc_openrouter_gpt_oss_120b,traj_006,240,0.1111111111111111,0,2,16,1,0
fc_openrouter_gpt_oss_120b,traj_006,255,0.0,0,0,17,0,0
fc_openrouter_gpt_oss_120b,traj_006,270,0.10526315789473684,0,1,18,1,0
fc_openrouter_gpt_oss_120b,traj_006,285,0.1,0,1,19,1,0
fc_openrouter_gpt_oss_120b,traj_006,300,0.0,0,0,20,0,0
fc_openrouter_gpt_oss_120b,traj_007,15,0.0,0,0,1,0,0
fc_openrouter_gpt_oss_120b,traj_007,30,0.0,0,0,2,0,0
fc_openrouter_gpt_oss_120b,traj_007,45,0.0,0,0,3,0,0
fc_openrouter_gpt_oss_120b,traj_007,60,0.0,0,0,4,0,0
fc_openrouter_gpt_oss_120b,traj_007,75,0.0,0,0,5,0,0
fc_openrouter_gpt_oss_120b,traj_007,90,0.0,0,0,6,0,0
fc_openrouter_gpt_oss_120b,traj_007,105,0.0,0,0,7,0,0
fc_openrouter_gpt_oss_120b,traj_007,120,0.0,0,0,8,0,0
fc_openrouter_gpt_oss_120b,traj_007,135,0.0,0,0,9,0,0
fc_openrouter_gpt_oss_120b,traj_007,150,0.0,0,0,10,0,0
fc_openrouter_gpt_oss_120b,traj_007,165,0.0,0,0,11,0,0
fc_openrouter_gpt_oss_120b,traj_007,180,0.0,0,0,12,0,0
fc_openrouter_gpt_oss_120b,traj_007,195,0.14285714285714288,0,1,13,1,0
fc_openrouter_gpt_oss_120b,traj_007,210,0.0,0,0,14,0,0
fc_openrouter_gpt_oss_120b,traj_007,225,0.0,0,0,15,0,0
fc_openrouter_gpt_oss_120b,traj_007,240,0.0,0,0,16,0,0
fc_openrouter_gpt_oss_120b,traj_007,255,0.0,0,0,17,0,0
fc_openrouter_gpt_oss_120b,traj_007,270,0.0,0,1,18,0,0
fc_openrouter_gpt_oss_120b,traj_007,285,0.0,0,0,19,0,0
fc_openrouter_gpt_oss_120b,traj_007,300,0.0,0,1,20,0,0
fc_openrouter_gpt_oss_120b,traj_008,15,0.0,0,0,1,0,0
fc_openrouter_gpt_oss_120b,traj_008,30,0.0,0,0,2,0,0
fc_openrouter_gpt_oss_120b,traj_008,45,0.0,0,0,3,0,0
fc_openrouter_gpt_oss_120b,traj_008,60,0.0,0,0,4,0,0
fc_openrouter_gpt_oss_120b,traj_008,75,0.0,0,0,5,0,0
fc_openrouter_gpt_oss_120b,traj_008,90,0.0,0,0,6,0,0
fc_openrouter_gpt_oss_120b,traj_008,105,0.25,0,1,7,1,0
fc_openrouter_gpt_oss_120b,traj_008,120,0.0,0,0,8,0,0
fc_openrouter_gpt_oss_120b,traj_008,135,0.0,0,0,9,0,0
fc_openrouter_gpt_oss_120b,traj_008,150,0.0,0,0,10,0,0
fc_openrouter_gpt_oss_120b,traj_008,165,0.0,0,0,11,0,0
fc_openrouter_gpt_oss_120b,traj_008,180,0.0,0,0,12,0,0
fc_openrouter_gpt_oss_120b,traj_008,195,0.0,0,1,13,0,0
fc_openrouter_gpt_oss_120b,traj_008,210,0.0,0,0,14,0,0
fc_openrouter_gpt_oss_120b,traj_008,225,0.0,0,0,15,0,0
fc_openrouter_gpt_oss_120b,traj_008,240,0.0,0,1,16,0,0
fc_openrouter_gpt_oss_120b,traj_008,255,0.0,0,0,17,0,0
fc_openrouter_gpt_oss_120b,traj_008,270,0.10526315789473684,0,1,18,1,0
fc_openrouter_gpt_oss_120b,traj_008,285,0.0,0,0,19,0,0
fc_openrouter_gpt_oss_120b,traj_008,300,0.0,0,1,20,0,0
fc_openrouter_gpt_oss_120b,traj_009,15,0.0,0,0,1,0,0
fc_openrouter_gpt_oss_120b,traj_009,30,0.6666666666666666,0,1,2,1,0
fc_openrouter_gpt_oss_120b,traj_009,45,0.0,0,0,3,0,0
fc_openrouter_gpt_oss_120b,traj_009,60,0.6666666666666666,0,2,4,2,0
fc_openrouter_gpt_oss_120b,traj_009,75,0.5,0,3,5,2,0
fc_openrouter_gpt_oss_120b,traj_009,90,0.4444444444444444,0,3,6,2,0
fc_openrouter_gpt_oss_120b,traj_009,105,0.5454545454545454,0,4,7,3,0
fc_openrouter_gpt_oss_120b,traj_009,120,0.5,0,4,8,3,0
fc_openrouter_gpt_oss_120b,traj_009,135,0.0,0,1,9,0,0
fc_openrouter_gpt_oss_120b,traj_009,150,0.0,0,0,10,0,0
fc_openrouter_gpt_oss_120b,traj_009,165,0.42857142857142855,0,3,11,3,0
fc_openrouter_gpt_oss_120b,traj_009,180,0.0,0,1,12,0,0
fc_openrouter_gpt_oss_120b,traj_009,195,0.2666666666666667,0,2,13,2,0
fc_openrouter_gpt_oss_120b,traj_009,210,0.125,0,2,14,1,0
fc_openrouter_gpt_oss_120b,traj_009,225,0.33333333333333337,0,3,15,3,0
fc_openrouter_gpt_oss_120b,traj_009,240,0.0,0,1,16,0,0
fc_openrouter_gpt_oss_120b,traj_009,255,0.10526315789473684,0,2,17,1,0
fc_openrouter_gpt_oss_120b,traj_009,270,0.10526315789473684,0,1,18,1,0
fc_openrouter_gpt_oss_120b,traj_009,285,0.18181818181818182,0,3,19,2,0
fc_openrouter_gpt_oss_120b,traj_009,300,0.2608695652173913,0,3,20,3,0
fc_openrouter_gpt_oss_120b,traj_010,15,0.0,0,0,1,0,0
fc_openrouter_gpt_oss_120b,traj_010,30,0.0,0,0,2,0,0
fc_openrouter_gpt_oss_120b,traj_010,45,0.0,0,1,3,0,0
fc_openrouter_gpt_oss_120b,traj_010,60,0.0,0,0,4,0,0
fc_openrouter_gpt_oss_120b,traj_010,75,0.5,0,3,5,2,0
fc_openrouter_gpt_oss_120b,traj_010,90,0.0,0,0,6,0,0
fc_openrouter_gpt_oss_120b,traj_010,105,0.0,0,0,7,0,0
fc_openrouter_gpt_oss_120b,traj_010,120,0.0,0,1,8,0,0
fc_openrouter_gpt_oss_120b,traj_010,135,0.0,0,0,9,0,0
fc_openrouter_gpt_oss_120b,traj_010,150,0.0,0,1,10,0,0
fc_openrouter_gpt_oss_120b,traj_010,165,0.0,0,0,11,0,0
fc_openrouter_gpt_oss_120b,traj_010,180,0.0,0,0,12,0,0
fc_openrouter_gpt_oss_120b,traj_010,195,0.13333333333333336,0,2,13,1,0
fc_openrouter_gpt_oss_120b,traj_010,210,0.0,0,0,14,0,0
fc_openrouter_gpt_oss_120b,traj_010,225,0.0,0,1,15,0,0
fc_openrouter_gpt_oss_120b,traj_010,240,0.0,0,0,16,0,0
fc_openrouter_gpt_oss_120b,traj_010,255,0.0,0,0,17,0,0
fc_openrouter_gpt_oss_120b,traj_010,270,0.09999999999999999,0,2,18,1,0
fc_openrouter_gpt_oss_120b,traj_010,285,0.09523809523809525,0,2,19,1,0
fc_openrouter_gpt_oss_120b,traj_010,300,0.0,0,0,20,0,0
fc_openrouter_gpt_oss_120b,traj_011,15,0.0,0,0,1,0,0
fc_openrouter_gpt_oss_120b,traj_011,30,0.0,0,0,2,0,0
fc_openrouter_gpt_oss_120b,traj_011,45,0.0,0,0,3,0,0
fc_openrouter_gpt_oss_120b,traj_011,60,0.0,0,0,4,0,0
fc_openrouter_gpt_oss_120b,traj_011,75,0.0,0,0,5,0,0
fc_openrouter_gpt_oss_120b,traj_011,90,0.2857142857142857,0,1,6,1,0
fc_openrouter_gpt_oss_120b,traj_011,105,0.0,0,0,7,0,0
fc_openrouter_gpt_oss_120b,traj_011,120,0.2222222222222222,0,1,8,1,0
fc_openrouter_gpt_oss_120b,traj_011,135,0.19999999999999998,0,1,9,1,0
fc_openrouter_gpt_oss_120b,traj_011,150,0.0,0,0,10,0,0
fc_openrouter_gpt_oss_120b,traj_011,165,0.0,0,0,11,0,0
fc_openrouter_gpt_oss_120b,traj_011,180,0.15384615384615385,0,1,12,1,0
fc_openrouter_gpt_oss_120b,traj_011,195,0.0,0,0,13,0,0
fc_openrouter_gpt_oss_120b,traj_011,210,0.0,0,0,14,0,0
fc_openrouter_gpt_oss_120b,traj_011,225,0.23529411764705882,0,2,15,2,0
fc_openrouter_gpt_oss_120b,traj_011,240,0.0,0,0,16,0,0
fc_openrouter_gpt_oss_120b,traj_011,255,0.1111111111111111,0,1,17,1,0
fc_openrouter_gpt_oss_120b,traj_011,270,0.19999999999999998,0,2,18,2,0
fc_openrouter_gpt_oss_120b,traj_011,285,0.1,0,1,19,1,0
fc_openrouter_gpt_oss_120b,traj_011,300,0.09090909090909091,0,2,20,1,0
fc_openrouter_gpt_oss_120b,traj_012,15,0.0,0,0,1,0,0
fc_openrouter_gpt_oss_120b,traj_012,30,0.0,0,0,2,0,0
fc_openrouter_gpt_oss_120b,traj_012,45,0.0,0,0,3,0,0
fc_openrouter_gpt_oss_120b,traj_012,60,0.0,0,1,4,0,0
fc_openrouter_gpt_oss_120b,traj_012,75,0.0,0,0,5,0,0
fc_openrouter_gpt_oss_120b,traj_012,90,0.0,0,0,6,0,0
fc_openrouter_gpt_oss_120b,traj_012,105,0.25,0,1,7,1,0
fc_openrouter_gpt_oss_120b,traj_012,120,0.0,0,0,8,0,0
fc_openrouter_gpt_oss_120b,traj_012,135,0.0,0,0,9,0,0
fc_openrouter_gpt_oss_120b,traj_012,150,0.0,0,1,10,0,0
fc_openrouter_gpt_oss_120b,traj_012,165,0.0,0,0,11,0,0
fc_openrouter_gpt_oss_120b,traj_012,180,0.0,0,0,12,0,0
fc_openrouter_gpt_oss_120b,traj_012,195,0.13333333333333336,0,2,13,1,0
fc_openrouter_gpt_oss_120b,traj_012,210,0.25,0,2,14,2,0
fc_openrouter_gpt_oss_120b,traj_012,225,0.0,0,0,15,0,0
fc_openrouter_gpt_oss_120b,traj_012,240,0.11764705882352941,0,1,16,1,0
fc_openrouter_gpt_oss_120b,traj_012,255,0.0,0,0,17,0,0
fc_openrouter_gpt_oss_120b,traj_012,270,0.0,0,0,18,0,0
fc_openrouter_gpt_oss_120b,traj_012,285,0.1,0,1,19,1,0
fc_openrouter_gpt_oss_120b,traj_012,300,0.18181818181818182,0,2,20,2,0
fc_openrouter_gpt_oss_120b,traj_013,15,0.0,0,0,1,0,0
fc_openrouter_gpt_oss_120b,traj_013,30,0.0,0,0,2,0,0
fc_openrouter_gpt_oss_120b,traj_013,45,0.5,0,1,3,1,0
fc_openrouter_gpt_oss_120b,traj_013,60,0.6666666666666666,0,2,4,2,0
fc_openrouter_gpt_oss_120b,traj_013,75,0.33333333333333337,0,1,5,1,0
fc_openrouter_gpt_oss_120b,traj_013,90,0.2857142857142857,0,1,6,1,0
fc_openrouter_gpt_oss_120b,traj_013,105,0.22222222222222224,0,2,7,1,0
fc_openrouter_gpt_oss_120b,traj_013,120,0.4,0,2,8,2,0
fc_openrouter_gpt_oss_120b,traj_013,135,0.19999999999999998,0,1,9,1,0
fc_openrouter_gpt_oss_120b,traj_013,150,0.18181818181818182,0,1,10,1,0
fc_openrouter_gpt_oss_120b,traj_013,165,0.15384615384615385,0,2,11,1,0
fc_openrouter_gpt_oss_120b,traj_013,180,0.4,0,3,12,3,0
fc_openrouter_gpt_oss_120b,traj_013,195,0.0,0,3,13,0,0
fc_openrouter_gpt_oss_120b,traj_013,210,0.23529411764705882,0,3,14,2,0
fc_openrouter_gpt_oss_120b,traj_013,225,0.3,0,5,15,3,0
fc_openrouter_gpt_oss_120b,traj_013,240,0.11764705882352941,0,1,16,1,0
fc_openrouter_gpt_oss_120b,traj_013,255,0.2,0,3,17,2,0
fc_openrouter_gpt_oss_120b,traj_013,270,0.19999999999999998,0,2,18,2,0
fc_openrouter_gpt_oss_120b,traj_013,285,0.1904761904761905,0,2,19,2,0
fc_openrouter_gpt_oss_120b,traj_013,300,0.24999999999999997,0,4,20,3,0
fc_openrouter_gpt_oss_120b,traj_014,15,1.0,1,1,1,1,0
fc_openrouter_gpt_oss_120b,traj_014,30,0.0,0,0,2,0,0
fc_openrouter_gpt_oss_120b,traj_014,45,0.0,0,0,3,0,0
fc_openrouter_gpt_oss_120b,traj_014,60,0.0,0,0,4,0,0
fc_openrouter_gpt_oss_120b,traj_014,75,0.0,0,0,5,0,0
fc_openrouter_gpt_oss_120b,traj_014,90,0.0,0,1,6,0,0
fc_openrouter_gpt_oss_120b,traj_014,105,0.0,0,2,7,0,0
fc_openrouter_gpt_oss_120b,traj_014,120,0.0,0,0,8,0,0
fc_openrouter_gpt_oss_120b,traj_014,135,0.0,0,0,9,0,0
fc_openrouter_gpt_oss_120b,traj_014,150,0.0,0,1,10,0,0
fc_openrouter_gpt_oss_120b,traj_014,165,0.0,0,0,11,0,0
fc_openrouter_gpt_oss_120b,traj_014,180,0.0,0,0,12,0,0
fc_openrouter_gpt_oss_120b,traj_014,195,0.0,0,0,13,0,0
fc_openrouter_gpt_oss_120b,traj_014,210,0.0,0,0,14,0,0
fc_openrouter_gpt_oss_120b,traj_014,225,0.0,0,1,15,0,0
fc_openrouter_gpt_oss_120b,traj_014,240,0.0,0,1,16,0,0
fc_openrouter_gpt_oss_120b,traj_014,255,0.0,0,1,17,0,0
fc_openrouter_gpt_oss_120b,traj_014,270,0.0,0,1,18,0,0
fc_openrouter_gpt_oss_120b,traj_014,285,0.0,0,1,19,0,0
fc_openrouter_gpt_oss_120b,traj_014,300,0.0,0,2,20,0,0
fc_openrouter_gpt_oss_120b,traj_015,15,0.0,0,0,1,0,0
fc_openrouter_gpt_oss_120b,traj_015,30,0.6666666666666666,0,1,2,1,0
fc_openrouter_gpt_oss_120b,traj_015,45,0.0,0,0,3,0,0
fc_openrouter_gpt_oss_120b,traj_015,60,0.4,0,1,4,1,0
fc_openrouter_gpt_oss_120b,traj_015,75,0.33333333333333337,0,1,5,1,0
fc_openrouter_gpt_oss_120b,traj_015,90,0.0,0,0,6,0,0
fc_openrouter_gpt_oss_120b,traj_015,105,0.25,0,1,7,1,0
fc_openrouter_gpt_oss_120b,traj_015,120,0.4,0,2,8,2,0
fc_openrouter_gpt_oss_120b,traj_015,135,0.0,0,0,9,0,0
fc_openrouter_gpt_oss_120b,traj_015,150,0.0,0,0,10,0,0
fc_openrouter_gpt_oss_120b,traj_015,165,0.0,0,0,11,0,0
fc_openrouter_gpt_oss_120b,traj_015,180,0.15384615384615385,0,1,12,1,0
fc_openrouter_gpt_oss_120b,traj_015,195,0.14285714285714288,0,1,13,1,0
fc_openrouter_gpt_oss_120b,traj_015,210,0.13333333333333333,0,1,14,1,0
fc_openrouter_gpt_oss_120b,traj_015,225,0.0,0,0,15,0,0
fc_openrouter_gpt_oss_120b,traj_015,240,0.0,0,0,16,0,0
fc_openrouter_gpt_oss_120b,traj_015,255,0.1111111111111111,0,1,17,1,0
fc_openrouter_gpt_oss_120b,traj_015,270,0.3478260869565218,0,5,18,4,0
fc_openrouter_gpt_oss_120b,traj_015,285,0.0,0,0,19,0,0
fc_openrouter_gpt_oss_120b,traj_015,300,0.0,0,0,20,0,0
fc_openrouter_gpt_oss_120b,traj_016,15,0.0,0,0,1,0,0
fc_openrouter_gpt_oss_120b,traj_016,30,0.0,0,0,2,0,0
fc_openrouter_gpt_oss_120b,traj_016,45,0.0,0,0,3,0,0
fc_openrouter_gpt_oss_120b,traj_016,60,0.0,0,0,4,0,0
fc_openrouter_gpt_oss_120b,traj_016,75,0.0,0,2,5,0,0
fc_openrouter_gpt_oss_120b,traj_016,90,0.0,0,0,6,0,0
fc_openrouter_gpt_oss_120b,traj_016,105,0.25,0,1,7,1,0
fc_openrouter_gpt_oss_120b,traj_016,120,0.0,0,0,8,0,0
fc_openrouter_gpt_oss_120b,traj_016,135,0.0,0,0,9,0,0
fc_openrouter_gpt_oss_120b,traj_016,150,0.0,0,2,10,0,0
fc_openrouter_gpt_oss_120b,traj_016,165,0.0,0,1,11,0,0
fc_openrouter_gpt_oss_120b,traj_016,180,0.2857142857142857,0,2,12,2,0
fc_openrouter_gpt_oss_120b,traj_016,195,0.13333333333333336,0,2,13,1,0
fc_openrouter_gpt_oss_120b,traj_016,210,0.125,0,2,14,1,0
fc_openrouter_gpt_oss_120b,traj_016,225,0.125,0,1,15,1,0
fc_openrouter_gpt_oss_120b,traj_016,240,0.0,0,2,16,0,0
fc_openrouter_gpt_oss_120b,traj_016,255,0.10526315789473684,0,2,17,1,0
fc_openrouter_gpt_oss_120b,traj_016,270,0.09999999999999999,0,2,18,1,0
fc_openrouter_gpt_oss_120b,traj_016,285,0.1,0,1,19,1,0
fc_openrouter_gpt_oss_120b,traj_016,300,0.09523809523809523,0,1,20,1,0
fc_openrouter_gpt_oss_120b,traj_017,15,0.0,0,0,1,0,0
fc_openrouter_gpt_oss_120b,traj_017,30,0.0,0,1,2,0,0
fc_openrouter_gpt_oss_120b,traj_017,45,0.0,0,0,3,0,0
fc_openrouter_gpt_oss_120b,traj_017,60,0.0,0,0,4,0,0
fc_openrouter_gpt_oss_120b,traj_017,75,0.0,0,1,5,0,0
fc_openrouter_gpt_oss_120b,traj_017,90,0.0,0,0,6,0,0
fc_openrouter_gpt_oss_120b,traj_017,105,0.0,0,1,7,0,0
fc_openrouter_gpt_oss_120b,traj_017,120,0.0,0,0,8,0,0
fc_openrouter_gpt_oss_120b,traj_017,135,0.0,0,1,9,0,0
fc_openrouter_gpt_oss_120b,traj_017,150,0.16666666666666669,0,2,10,1,0
fc_openrouter_gpt_oss_120b,traj_017,165,0.0,0,0,11,0,0
fc_openrouter_gpt_oss_120b,traj_017,180,0.0,0,0,12,0,0
fc_openrouter_gpt_oss_120b,traj_017,195,0.0,0,1,13,0,0
fc_openrouter_gpt_oss_120b,traj_017,210,0.0,0,1,14,0,0
fc_openrouter_gpt_oss_120b,traj_017,225,0.1111111111111111,0,3,15,1,0
fc_openrouter_gpt_oss_120b,traj_017,240,0.1111111111111111,0,2,16,1,0
fc_openrouter_gpt_oss_120b,traj_017,255,0.0,0,1,17,0,0
fc_openrouter_gpt_oss_120b,traj_017,270,0.09523809523809525,0,3,18,1,0
fc_openrouter_gpt_oss_120b,traj_017,285,0.0,0,1,19,0,0
fc_openrouter_gpt_oss_120b,traj_017,300,0.0,0,1,20,0,0
fc_openrouter_gpt_oss_120b,traj_018,15,0.0,0,0,1,0,0
fc_openrouter_gpt_oss_120b,traj_018,30,0.0,0,0,2,0,0
